Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-04-12 04:00:00,25.83173521130417,26.479188728811152,25.815133839060405,26.462587356567383,3935600,0.01644570192514663,0.0038635383103842436,0.017072857793931234,0.009855523531521403,0.11382072624985616,-0.010088619760843503,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4.74,-0.020875987725316257,0.002218862607874774,-0.00489386285306619,0.007595238080975959,0.016152751950482405
1999-04-13 04:00:00,26.246762645561887,26.296566749253653,26.04754623079481,26.196958541870117,4189000,-0.010088619760843503,0.015938870654632488,-0.006920704661076524,0.008962666303195109,0.062398693955424446,-0.04074274006588867,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,4.74,0.012507312535173922,-0.005908601747923855,0.011100659863702698,-0.006505632243595896,0.005353404255533848
1999-04-14 04:00:00,26.16375694149005,26.180358310107746,25.05146524410437,25.151073455810547,3945800,-0.036760108865395325,-0.0031675233951861687,-0.00442894201487139,-0.035669183251825776,-0.059810319886165794,-0.02675722063427008,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,0.002958172296661375,-0.02994655684515307,-0.0029984568441092352,-0.015965933063986384,0.0016004862134845297
1999-04-15 04:00:00,25.1510792037188,25.200883320953885,24.43722019001589,24.487024307250977,6050200,-0.02675722063427008,-0.03701519339852063,-0.03090949148694452,-0.02482493094374833,0.427439607268859,0.010117859895234942,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.0022453060355347625,0.005762531766761781,-0.004243931705309484,-0.004216795807645577,0.004892089962070589
1999-04-16 04:00:00,24.70283547215814,24.935254623105862,24.43721358536074,24.736038208007812,5473000,0.010117859895234942,-0.017982772820781954,-0.010596395901844708,-2.7027034943063324e-07,-0.10026441718580996,-0.03135865720789803,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,4.74,0.007415457908754236,-0.015074760940159365,-0.007061573309659537,-0.0029146078293303093,0.0029747125884953007
1999-04-19 04:00:00,24.769251403385915,24.902062402867877,23.607155157918747,23.97238540649414,6346200,-0.03135865720789803,0.0026849876495043303,-0.0013320229549433006,-0.03455726664680007,0.14802929641814408,0.06436540881396963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4.74,-0.01058115499233166,-0.04721913349428217,0.014641640632932334,-0.022634852550357645,-0.005097775888194956
1999-04-20 04:00:00,24.022190320646605,25.599320991317946,24.005588945165854,25.566118240356445,8386400,0.037366839028678336,-0.030625021273156267,0.02761519989203959,0.01673682521458995,0.2787551375763007,0.045692804282641206,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,4.74,0.00137234253121163,0.026931772371610395,-0.03046569593807895,0.012860203295938252,0.000767820470216869
1999-04-21 04:00:00,25.566107416271276,26.76140594482422,25.54950604781915,26.76140594482422,7812200,0.037366839028678336,0.03761845621983174,0.03151461572432069,0.03627504955033649,-0.07092473183100483,0.01722037698115668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74,-0.012177124372538864,0.03243588150708048,-0.0013933885814566603,0.022670663304898607,0.012636431432107569
1999-04-22 04:00:00,26.761400036695527,27.226238250732425,26.396170011380825,27.226238250732425,5347800,0.01722037698115668,0.03761845621983174,0.01722037698115668,0.0326009406048842,-0.3790013529426314,-0.007343497465143833,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4.74,0.010305078460239555,0.02872281331982095,0.01612660837093513,0.01684674875227101,0.013681052888749937
1999-04-23 04:00:00,27.093440250331117,27.22625123195039,26.894223777902212,27.027034759521484,3874600,-0.007343497465143833,0.012331089248093422,4.767906145674828e-07,0.018692609802767095,-0.3222428297118812,-0.015475142218712663,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,4.74,0.015324848900240075,0.011288217882056438,0.0022426969022285867,-0.001450817739520779,-0.003502831150456772
1999-04-26 04:00:00,26.977237432507227,27.07684569379649,26.412790618534768,26.61200714111328,4711200,-0.015475142218712663,-0.004298189025994367,-0.005502666463009966,-0.018063148154422788,0.19550022097751543,0.017315867095602143,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,4.74,-0.0002801411297066405,0.02340871737251201,0.011692436879718717,0.0023483210033231894,0.00270175528355075
1999-04-27 04:00:00,26.877613503826243,27.3590531527521,26.628592995761142,27.07682991027832,4921600,0.017315867095602143,-0.0036997240020616154,0.010368524932544178,0.008137177172813929,0.043691028240909154,-0.02420216356221558,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4.74,0.002288347801491441,-0.018895039249012233,0.013743611658194346,0.0020273028322104576,0.01049833711574667
1999-04-28 04:00:00,27.010426403889102,27.159838719583636,26.296567562237456,26.429378509521484,6215400,-0.02420216356221558,0.004929226195872457,-0.007308120652254679,-0.012547143397618622,0.23339640242084117,-0.00819944840281989,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,-0.0008866970622064675,-0.020199412370601695,0.0007882883082682063,-0.008762977894182676,0.0012677155232625568
1999-04-29 04:00:00,26.346369131521907,26.545585533272547,26.080747262521054,26.213558197021484,5975200,-0.00819944840281989,-0.024892482946762384,-0.022875900582871783,-0.00824103037288378,-0.039412513249254454,-0.012105762984459706,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,0.0,-0.008636004034468256,-0.015454891741963322,-0.005999170215246042,0.0030316673075590477
1999-04-30 04:00:00,26.213562155992555,26.230163525312378,25.68231833775838,25.898136138916016,5343000,-0.012105762984459706,-0.005053555243167247,-0.011953435785341878,-0.015394636654955208,-0.11183027708508556,0.0025605567832697206,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,-0.014309635827652737,0.0056869854835157755,0.008368007944619843,-0.005713140073082221,-0.008246514847448238
1999-05-03 04:00:00,25.88152793484271,26.030940219264508,25.58270336599911,25.964534759521484,9691000,0.0025605567832697206,-0.012747409276269418,-0.007624189189063272,-0.003886279331354346,0.5954103267767787,-0.02853604706274639,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,4.74,0.0,-0.0028670355532977275,0.0,0.014462203465727276,0.020699067765169183
1999-05-04 04:00:00,25.848331930762843,25.86493330001831,25.167675791288676,25.234081268310547,6362800,-0.02853604706274639,-0.0012834370215903817,-0.006397714277471735,-0.01635600891561088,-0.4207290877103447,-0.010582156772948138,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,0.0,-0.020101443252031864,-0.0029193233313076334,-0.016846785798959794,-0.01174217845070235
1999-05-05 04:00:00,25.267282808080633,25.350289650419924,24.65303217476987,24.96845817565918,6542200,-0.010582156772948138,-0.02273568085477835,-0.020097968654472352,-0.020660562407928098,0.027804968297433737,0.037838671446398894,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,4.74,0.0,0.019655636436170045,-0.020317966989770845,0.011428483375267562,0.006345715465203503
1999-05-06 04:00:00,24.96845431944472,25.931333541870117,24.86884612402141,25.931333541870117,6098600,0.037366839028678336,-0.011897188355293405,0.022661870737551576,0.008715958396917507,-0.07021426369799434,-0.015484215724046879,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,4.74,0.03524143497864297,-0.0248358180733519,0.0007651136326765152,-0.011390909885870973,-0.0007843807691337302
1999-05-07 04:00:00,25.91473125884375,25.931332624160113,25.366886203403748,25.532899856567383,2926600,-0.015484215724046879,0.03719838061564212,-3.5390004886675574e-08,0.01982877025929594,-0.7342178969653186,-0.029025826573735182,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,4.74,-0.02067924951935183,0.012596917700690132,-0.007929475561232512,0.00967486744620845,0.0077139293511922745
1999-05-10 04:00:00,25.433290591361217,25.466493320592757,24.70283054826729,24.80243873596191,4675400,-0.029025826573735182,-0.018752612415803706,-0.018088390673338076,-0.026526796534336972,0.4684733809016113,-0.006042231961461281,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,4.74,0.0017975867026378304,0.009053632449814296,-0.0011334607697957065,-0.003500507120746083,-0.002208814422034604
1999-05-11 04:00:00,24.8190421480121,24.852244879982685,24.586623024218007,24.65302848815918,4507400,-0.006042231961461281,-0.02444778198124877,-0.024415515013072153,-0.0047153186307374246,-0.03659422997537219,0.0200008252721845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.013869069541295024,0.01582184455974263,0.004635785644214588,0.011358020792021698,0.001715613107895975
1999-05-12 04:00:00,24.68623513451504,25.267283036134423,24.43721460524959,25.151073455810547,5168600,0.0200008252721845,-0.0053653807991167314,0.016562312567517633,-0.006095356413462156,0.13688136821010444,0.005923238047415991,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,4.74,0.012121040090719983,0.015410477994527596,-0.005533950215046111,0.0061700326961923345,-0.002340840460965677
1999-05-13 04:00:00,25.151078982616035,25.400099566602332,24.65303781464344,25.300491333007812,3789200,0.005923238047415991,0.01865499122760844,0.0052426957091441136,0.008792971692272328,-0.3104469437932903,-0.02230686395855748,-1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,4.74,-0.005687194581396658,-0.00945939391992249,0.017735255243449266,0.002606613461245054,0.009663765804171831
1999-05-14 04:00:00,24.942168637528553,25.10867176594997,24.57586175500143,24.74236488342285,2972600,-0.02230686395855748,-0.008340906855975182,-0.011539818808250247,-0.0031353990660526426,-0.24271792428658479,-0.01218662078910808,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,4.74,-0.002427653216445615,-0.021191154925007272,-0.024489770631856218,-0.022001662681522823,-0.017608594891772963
1999-05-17 04:00:00,24.5425708313404,24.62582242846164,24.309466359400943,24.44266891479492,3408600,-0.01218662078910808,-0.01615069601374743,-0.019417690542965965,-0.010898895143899962,0.13686465907634168,-0.015100014113562234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4.74,-0.023434991890841046,0.013352647122564924,-0.021595246623303244,0.0012624270109211854,-0.005499270830780916
1999-05-18 04:00:00,24.442663839084315,24.442663839084315,24.009755623950667,24.076356887817383,4089000,-0.015100014113562234,-0.0040790712326323,-0.007465461194150301,-0.012405604515299276,0.18199879157350607,0.03265596901901453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.002585359969422424,-0.001359314429844489,0.006563140646667718,-0.004616905093740054,-0.0015232102009559332
1999-05-19 04:00:00,24.34276209043531,24.875572204589844,24.34276209043531,24.875572204589844,4822400,0.03265596901901453,-0.004095562819775211,0.017556162563263557,0.013774328509791288,0.16497128806753397,0.017253204159995712,-1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,4.74,-0.015408799781488132,0.007414630790546151,0.009668929500505486,0.00814931176424019,0.00464359737724856
1999-05-20 04:00:00,25.09202520972804,25.40838120109156,24.97547300238358,25.30847930908203,4602200,0.017253204159995712,0.030315514329207743,0.021192802164075753,0.02565970279301356,-0.04673727941570272,-0.026668214492317262,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,4.74,0.004442606256859249,-0.01373946005417651,0.01606695428473074,-0.00402527847542653,-0.0018984367911335078
1999-05-21 04:00:00,25.30848013388144,25.30848013388144,24.509264971758867,24.642467498779297,3631200,-0.026668214492317262,0.008589447803670637,-0.003939565414235985,-0.0188430552116357,-0.23697127787421776,-0.02185911453442269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,4.74,0.005723729547303396,-0.008727228018159899,-0.0023739876270947096,-0.006399072465026039,-0.003453167657899663
1999-05-24 04:00:00,24.659109905938415,24.759011769163013,23.976447173903654,24.109649658203125,3387600,-0.02185911453442269,-0.02599312029444704,-0.0219499881020907,-0.02197922744069909,-0.06944146609481192,-0.030145991628271994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4.74,0.005966933917420258,-0.026733661347963525,-0.004891451232625981,-0.01793036430661807,-0.016255315694694645
1999-05-25 04:00:00,23.710042194624386,24.17625088946251,23.393686294555664,23.393686294555664,5133400,-0.030145991628271994,-0.03701519339852063,-0.023818751525870038,-0.024605811252656432,0.4156465016148233,0.024606405027642168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.010812022239839207,-0.03010222511621897,-0.011582020671974677,-0.01717492639397584,-0.011666466641687506
1999-05-26 04:00:00,23.743356924586827,24.27616717815399,23.54355307949914,23.97646141052246,4695000,0.024606405027642168,0.0014041032277623282,0.0041243114093039305,0.0063858589141140756,-0.08927009501990403,0.0027737481686799736,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,4.74,0.0010041109189380113,0.01925153502061194,-0.0020022272073764494,0.0157274210587678,0.016113785131895222
1999-05-27 04:00:00,24.093009347730728,24.309463474558992,23.876555220902464,24.043058395385746,5604000,0.0027737481686799736,0.014618946943197144,0.0013706234197334028,0.014044995989002105,0.17698251581453442,0.025975846441767758,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,4.74,-0.0032911396555571413,-0.0033138630347321852,-0.0059985553772047865,-0.018058062469890036,-0.02222487154441711
1999-05-28 04:00:00,24.24287093313117,24.992135488069977,24.209570286245,24.675779342651367,4989600,0.025975846441767758,0.006200862163654561,0.027695476969587067,0.013850996972406082,-0.11612488224498482,0.0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,4.74,-0.012722508674630033,0.02101246427177359,0.004297582588845486,0.01581756128506971,0.008827945648694326
1999-06-01 04:00:00,24.625828372322115,24.92553419429764,24.45932513789127,24.675779342651367,3854400,0.0,0.015673233954168465,-0.00266844721383353,0.01026351808041255,-0.258140393351306,-0.010173459403200283,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,4.76,0.02691975001038428,-0.023959933959160573,0.0038152375217049583,-0.005839511317436866,0.003452407593436986
1999-06-02 04:00:00,24.55921647657565,24.759020271639315,24.359412681511984,24.426013946533203,4449000,-0.010173459403200283,-0.00270862562702931,-0.006702869649623153,-0.004093206843902794,0.14346399894543477,0.021578723606096417,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,4.76,0.0005782058679829603,0.008413770543463064,0.008317346031198401,0.0004249006955219619,-0.0017351461385511373
