Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-05-06 04:00:00,10949.73046875,10980.0400390625,10852.3203125,10946.8203125,118310000,-0.0007843807691337302,0.006063281490118348,0.002245670177176679,0.007070430994694893,0.0077139293511922745,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,4.74,0.03524143497864297,-0.0248358180733519,0.0007651136326765152,-0.011390909885870973,-0.0007843807691337302
1999-05-07 04:00:00,10947.1103515625,11033.8798828125,10933.650390625,11031.58984375,91890000,0.0077139293511922745,-0.00023931463186916747,0.0048914460750110215,0.007466314634387458,-0.002208814422034604,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,4.74,-0.02067924951935183,0.012596917700690132,-0.007929475561232512,0.00967486744620845,0.0077139293511922745
1999-05-10 04:00:00,11029.1396484375,11100.599609375,10951.98046875,11007.25,91670000,-0.002208814422034604,0.007465302573227777,0.00602859702733365,0.0016750791904328137,0.001715613107895975,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,4.74,0.0017975867026378304,0.009053632449814296,-0.0011334607697957065,-0.003500507120746083,-0.002208814422034604
1999-05-11 04:00:00,11001.23046875,11102.3203125,10970.58984375,11026.150390625,95280000,0.001715613107895975,-0.002533701837020834,0.00015499791329242582,0.0016977370084404486,-0.002340840460965677,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,4.74,-0.013869069541295024,0.01582184455974263,0.004635785644214588,0.011358020792021698,0.001715613107895975
1999-05-12 04:00:00,11023.6103515625,11043.6103515625,10812.8095703125,11000.3701171875,93550000,-0.002340840460965677,0.0020322408409211845,-0.005302111649114365,-0.014486539014433364,0.009663765804171831,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,4.74,0.012121040090719983,0.015410477994527596,-0.005533950215046111,0.0061700326961923345,-0.002340840460965677
1999-05-13 04:00:00,10998.4296875,11130.669921875,10998.4296875,11107.1904296875,86560000,0.009663765804171831,-0.0022868612528039083,0.007852342134610354,0.017021004297498685,-0.017608594891772963,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,4.74,-0.005687194581396658,-0.00945939391992249,0.017735255243449266,0.002606613461245054,0.009663765804171831
1999-05-14 04:00:00,11105.900390625,11106.759765625,10870.080078125,10913.3203125,88150000,-0.017608594891772963,0.009724026883727858,-0.0021504432661684364,-0.01173843892718322,-0.005499270830780916,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,-0.002427653216445615,-0.021191154925007272,-0.024489770631856218,-0.022001662681522823,-0.017608594891772963
1999-05-17 04:00:00,10910.5703125,10910.5703125,10745.7998046875,10853.4697265625,78880000,-0.005499270830780916,-0.017744461041349146,-0.017821838086186075,-0.011499105617481317,-0.0015232102009559332,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,4.74,-0.023434991890841046,0.013352647122564924,-0.021595246623303244,0.0012624270109211854,-0.005499270830780916
1999-05-18 04:00:00,10849.7900390625,10930.75,10740.7998046875,10836.9501953125,95790000,-0.0015232102009559332,-0.0055863442076172646,0.0018478455471822148,-0.0004654063631426504,0.00464359737724856,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,4.74,-0.002585359969422424,-0.001359314429844489,0.006563140646667718,-0.004616905093740054,-0.0015232102009559332
1999-05-19 04:00:00,10836.669921875,10891.8095703125,10797.1298828125,10887.3896484375,83780000,0.00464359737724856,-0.0012099825247504005,-0.003568827102293922,0.005230791202344401,-0.0018984367911335078,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,4.74,-0.015408799781488132,0.007414630790546151,0.009668929500505486,0.00814931176424019,0.00464359737724856
1999-05-20 04:00:00,10887.6796875,10946.080078125,10866.740234375,10866.740234375,77580000,-0.0018984367911335078,0.004696100024799883,0.004970317224903073,0.0064264224956177025,-0.003453167657899663,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,4.74,0.004442606256859249,-0.01373946005417651,0.01606695428473074,-0.00402527847542653,-0.0018984367911335078
1999-05-21 04:00:00,10867.0400390625,10888.8603515625,10787.400390625,10829.2802734375,79810000,-0.003453167657899663,-0.0018974875235908022,-0.005241127882114549,-0.0073279471267503745,-0.016255315694694645,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,4.74,0.005723729547303396,-0.008727228018159899,-0.0023739876270947096,-0.006399072465026039,-0.003453167657899663
1999-05-24 04:00:00,10829.8701171875,10856.419921875,10626.650390625,10654.669921875,92340000,-0.016255315694694645,-0.003426290469033074,-0.002983677685075789,-0.015013788959153352,-0.011666466641687506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,0.005966933917420258,-0.026733661347963525,-0.004891451232625981,-0.01793036430661807,-0.016255315694694645
1999-05-25 04:00:00,10651.73046875,10754.66015625,10530.2099609375,10531.08984375,89820000,-0.011666466641687506,-0.016585703783415735,-0.009417439325560146,-0.009116768372838447,0.016113785131895222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.010812022239839207,-0.03010222511621897,-0.011582020671974677,-0.01717492639397584,-0.011666466641687506
1999-05-26 04:00:00,10530.8896484375,10721.330078125,10518.7001953125,10702.16015625,97200000,0.016113785131895222,-0.011409554676603794,-0.0031039411473931444,-0.0010936211601177783,-0.02222487154441711,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,4.74,0.0010041109189380113,0.01925153502061194,-0.0020022272073764494,0.0157274210587678,0.016113785131895222
1999-05-27 04:00:00,10701.2802734375,10701.2802734375,10434.259765625,10466.9296875,98020000,-0.02222487154441711,0.016050576425137294,-0.0018718363647218688,-0.008060043734051258,0.008827945648694326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.0032911396555571413,-0.0033138630347321852,-0.0059985553772047865,-0.018058062469890036,-0.02222487154441711
1999-05-28 04:00:00,10468.490234375,10589.5,10467.240234375,10559.740234375,72820000,0.008827945648694326,-0.021993570748649126,-0.01050044188777579,0.0031558018440084106,0.003452407593436986,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,4.74,-0.012722508674630033,0.02101246427177359,0.004297582588845486,0.01581756128506971,0.008827945648694326
1999-06-01 04:00:00,10561.009765625,10597.51953125,10409.1396484375,10596.259765625,84670000,0.003452407593436986,0.008799080166793712,0.000757023102863571,-0.005566169639638527,-0.0017351461385511373,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,4.76,0.02691975001038428,-0.023959933959160573,0.0038152375217049583,-0.005839511317436866,0.003452407593436986
1999-06-02 04:00:00,10594.8896484375,10627.599609375,10464.5498046875,10577.8896484375,79170000,-0.0017351461385511373,0.003202880776875456,0.0028343867531378116,0.005309103263824999,0.008078612567957257,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,4.76,0.0005782058679829603,0.008413770543463064,0.008317346031198401,0.0004249006955219619,-0.0017351461385511373
1999-06-03 04:00:00,10577.259765625,10667.1796875,10577.259765625,10663.6904296875,71280000,0.008078612567957257,-0.001665384703501682,0.0037173546766602903,0.010713055693384974,0.012686751756932952,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,4.76,-0.011670365188314446,-0.012031356081271117,0.007335521758853658,0.003646374260635243,0.008078612567957257
1999-06-04 04:00:00,10661.7900390625,10799.83984375,10659.580078125,10799.83984375,87580000,0.012686751756932952,0.00795993422851813,0.012359596059631144,0.00775263414102219,0.010091654152842133,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,4.76,0.004503785098636615,0.030737873476845156,0.0020298670622558557,0.021475394566336188,0.012686751756932952
1999-06-07 04:00:00,10799.2001953125,10917.2998046875,10782.740234375,10909.3798828125,84220000,0.010091654152842133,0.012805749644979122,0.010817364369510932,0.011487703651334025,-0.013263410569958443,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,4.76,0.010687019083879428,0.01833911032690206,0.007907036146688567,0.005085910951654291,0.010091654152842133
1999-06-08 04:00:00,10908.1201171875,10909.0703125,10724.169921875,10765.6396484375,80040000,-0.013263410569958443,0.010035401367773611,-0.0007540871462628826,-0.005446664060128642,-0.007023691840530073,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,4.76,0.005268319090621774,-0.01986550089363794,0.0030365577893264697,-0.012964763781468821,-0.013263410569958443
1999-06-09 04:00:00,10765.6396484375,10790.01953125,10672.5595703125,10690.2900390625,77250000,-0.007023691840530073,-0.013147928445388743,-0.010972992567538972,-0.0048241439583138375,-0.006477306261929771,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,4.76,0.0035907420958485223,0.017938344389545377,0.003337346417069679,0.0009939860591529955,-0.007023691840530073
